ITEMS,SALES AMOUNT,PERCENTAGE,QUANTITY
Monkey Bread,155.00,0.290%,31.00
Muffin,489.00,0.915%,163.00
Muffin - HALF,3.75,0.007%,3.00
NY Cheese cake,42.00,0.079%,6.00
Oat milk,36.00,0.067%,48.00
Orange Juice,330.00,0.618%,66.00
Oreo cupcake,24.00,0.045%,6.00
Pancake,431.50,0.808%,31.00
Pecan Banana Waffle,90.00,0.168%,6.00
Plain Croissant,594.66,1.113%,159.00
PLT,546.50,1.023%,36.00
Pot of Tea,25.00,0.047%,5.00
Ranch dressing,3.00,0.006%,3.00
Ranch sauce,5.00,0.009%,5.00
Ras.Cheese bun,175.00,0.328%,35.00
Red velvet,63.00,0.118%,9.00
Red velvet cupcake,36.00,0.067%,9.00
Rice Crispy,128.00,0.240%,32.00
S COLDBREW,590.00,1.104%,118.00
S HOT AMERICANO,250.50,0.469%,52.00
S HOT CAFE MOCHA,164.75,0.308%,29.00
S HOT CAPPUCINO,870.00,1.628%,168.00
S HOT CARAMEL MAC,134.25,0.251%,24.00
S HOT CHAI LATTE,170.75,0.320%,29.00
S HOT CHOCOLATE,45.50,0.085%,11.00
S HOT COFFEE,868.75,1.626%,291.00
S HOT GINGER CHAI,28.25,0.053%,5.00
S HOT LATTE,874.50,1.637%,151.00
S HOT MATCHA,141.75,0.265%,24.00
S HOT PUMPKIN SPICE,17.25,0.032%,3.00
S HOT SALTED CARAMEL,64.25,0.120%,11.00
S HOT WHITE MOCHA,83.25,0.156%,15.00
S ICED AMERICANO,90.75,0.170%,18.00
S ICED CAFE MOCHA,47.00,0.088%,8.00
S ICED CAPPUCCINO,96.75,0.181%,16.00
S ICED CARAMEL MAC,57.25,0.107%,10.00
S ICED CHAI,82.25,0.154%,14.00
S ICED GINGER CHAI,6.25,0.012%,1.00
S ICED MATCHA,211.25,0.395%,35.00
S ICED PUMPKIN SPICE,6.25,0.012%,1.00
S ICED SALTED CARAMEL,110.00,0.206%,19.00
S ICED WHITE MOCHA,41.75,0.078%,7.00
Salmon Benedict,198.00,0.371%,10.00
San Pellegrino 16oz,48.00,0.090%,12.00
San Pellegrino 8oz,63.00,0.118%,21.00
Santa Fe Burrito,861.50,1.613%,61.00
Scones,800.00,1.497%,200.00
Side Grilled Chicken,89.50,0.168%,15.00
Side of Avocado,25.00,0.047%,5.00
Side of Bacon,107.00,0.200%,19.00
SIde of Cajun Fries,40.00,0.075%,5.00
Side of French Fries,338.50,0.634%,57.00
Side of Fruit Bowl,80.00,0.150%,10.00
Side of Home Fries,85.00,0.159%,15.00
Side of Pancakes,65.00,0.122%,7.00
Side of Sausage,79.00,0.148%,14.00
Side of Steak,40.00,0.075%,4.00
Side of Thick Cut Ham,6.00,0.011%,1.00
Side of Toast,22.00,0.041%,7.00
SMALL ICED LATTE,589.10,1.103%,99.00
Soup,439.00,0.822%,46.00
Sour Cream,6.00,0.011%,4.00
Southern Pepper Egg,337.75,0.632%,24.00
Spanish rice,10.00,0.019%,2.00
Steak and Eggs,37.00,0.069%,3.00
Steak Salmon Rice,801.00,1.499%,41.00
Steam Milk,8.50,0.016%,10.00
Sticky Bun,165.00,0.309%,33.00
STRAWBERRY,73.50,0.138%,49.00
Sunrise Berry Bowl,206.00,0.386%,15.00
Syrup,60.00,0.112%,80.00
The Classic,713.00,1.335%,47.00
Toasted Croissant,43.00,0.080%,12.00
Toasted Muffin,3.50,0.007%,1.00
To-Go Tea,367.00,0.687%,117.00
Turkey Club,646.00,1.209%,43.00
Waffle,294.00,0.550%,21.00
Waffle N Wings,95.00,0.178%,5.00
Water 1L,124.00,0.232%,31.00
Water 500mL,138.00,0.258%,46.00
White rice,16.00,0.030%,4.00
Wintermelon,26.00,0.049%,4.00
