ITEMS,SALES AMOUNT,PERCENTAGE,QUANTITY
Dine In Cafe Mocha,37.50,0.067%,6.00
Dine in Cappuccino,151.50,0.273%,25.00
Dine in Chai Latte,18.75,0.034%,3.00
Dine in Coffee,60.00,0.108%,20.00
Dine in Hot Chocolate,15.00,0.027%,3.00
Dine in Latte,202.75,0.365%,32.00
EBC,"1,075.50",1.936%,96.00
Egg Bar,"1,842.10",3.316%,150.00
Eggs Benedict,368.00,0.662%,23.00
ELAT,579.50,1.043%,40.00
ESPRESSO OVER ICED,75.00,0.135%,25.00
ESPRESSO SHOT,186.00,0.335%,62.00
Farmers Breakfast,150.00,0.270%,10.00
French Roast,51.00,0.092%,3.00
French toaste,300.00,0.540%,20.00
Front Open Item,58.95,0.106%,23.00
Fruit Cheese cake,35.00,0.063%,5.00
Ginger Ale,7.00,0.013%,2.00
Granola Bowl,131.50,0.237%,13.00
Gravy,20.00,0.036%,4.00
Green Salsa,7.00,0.013%,7.00
Grill Cheese Sandwich,80.00,0.144%,11.00
Grilled Chicken Box,"1,216.00",2.189%,71.00
Hair Bender,34.00,0.061%,2.00
Ham and Cheese Crois.,476.00,0.857%,43.00
Holler Mtn,68.00,0.122%,4.00
Homestead,17.00,0.031%,1.00
Huevos Rancheros,308.50,0.555%,19.00
Iced Coffee refill,8.00,0.014%,2.00
Jalapeno Mayo,0.00,0.000%,1.00
JD Cookie,320.00,0.576%,64.00
Jelly,0.00,0.000%,2.00
K- wings Sweet n Spice,195.86,0.353%,14.00
Kale Caesar Salad,615.00,1.107%,41.00
Kale Caesar Wrap,"1,029.50",1.853%,71.00
Kitchen Open item,16.00,0.029%,10.00
Kombucha,50.00,0.090%,10.00
Korean Steak Sandwich,"1,090.00",1.962%,68.00
K-Ramen Regular,120.00,0.216%,10.00
K-Ramen Rose Cheese,84.00,0.151%,7.00
K-wings Chipotle BBQ,55.96,0.101%,4.00
K-wings Crispy Soy,307.78,0.554%,22.00
K-wings Sweet Chili,181.87,0.327%,13.00
L Arnold Palmer,174.00,0.313%,29.00
L COLDBREW,"2,128.00",3.830%,354.00
L HOT AMERICANO,96.75,0.174%,16.00
L HOT CAFE MOCHA,37.50,0.067%,6.00
L HOT CAPPUCCINO,245.50,0.442%,40.00
L HOT CARAMEL MAC,71.50,0.129%,11.00
L HOT CHAI LATTE,76.50,0.138%,12.00
L HOT COFFEE,483.50,0.870%,158.00
L HOT GINGER CHAI,13.50,0.024%,2.00
L HOT LATTE,676.75,1.218%,107.00
L HOT MATCHA,61.50,0.111%,9.00
L HOT WHITE MOCHA,76.50,0.138%,12.00
L ICED AMERICANO,132.75,0.239%,21.00
L ICED CAFE MOCHA,66.00,0.119%,9.00
L ICED CAPPUCCINO,8.25,0.015%,1.00
L ICED CARAMEL MAC,81.50,0.147%,11.00
L ICED CHAI,96.00,0.173%,13.00
L ICED GINGER CHAI,7.75,0.014%,1.00
L ICED MATCHA,365.50,0.658%,49.00
L Iced Passion Fruit,285.00,0.513%,57.00
L ICED SALTED CARAMEL,70.75,0.127%,10.00
L ICED WHITE MOCHA,49.00,0.088%,7.00
L LEMONADE,190.00,0.342%,38.00
LARGED ICED LATTE,997.00,1.794%,155.00
London Fog,10.00,0.018%,2.00
M Arnold Palmer,105.00,0.189%,21.00
M COLDBREW,"1,869.25",3.364%,342.00
M ICED AMERICANO,354.00,0.637%,58.00
M ICED CAFE MOCHA,102.50,0.184%,16.00
M ICED CAPPUCCINO,155.50,0.280%,23.00
M ICED CARAMEL MAC,330.50,0.595%,50.00
M ICED CHAI,146.50,0.264%,22.00
M ICED GINGER CHAI,13.25,0.024%,2.00
M ICED LATTE,"1,694.50",3.050%,290.00
M ICED MATCHA,806.25,1.451%,119.00
M Iced Passion Fruit,288.00,0.518%,72.00
M ICED SALTED CARAMEL,227.00,0.409%,35.00
M ICED WHITE MOCHA,106.75,0.192%,16.00
M LEMONADE,222.00,0.400%,55.00
Macchiato,47.00,0.085%,10.00
Maple Syrup,0.00,0.000%,9.00
Mc and B,327.50,0.589%,27.00
Milk,7.00,0.013%,2.00
Monkey Bread,175.00,0.315%,35.00
Muffin,576.00,1.037%,192.00
Muffin - HALF,3.75,0.007%,3.00
NY Cheese cake,91.00,0.164%,13.00
Oat milk,39.00,0.070%,52.00
Orange Juice,440.00,0.792%,88.00
Oreo cupcake,36.00,0.065%,9.00
Pancake,404.00,0.727%,31.00
Pecan Banana Waffle,195.00,0.351%,13.00
Plain Croissant,418.88,0.754%,112.00
PLT,505.00,0.909%,36.00
Pot of Tea,15.00,0.027%,3.00
Ranch dressing,1.00,0.002%,1.00
Ranch sauce,4.00,0.007%,4.00
Ras.Cheese bun,100.00,0.180%,20.00
RASPBERRY,4.50,0.008%,3.00
Red velvet,63.00,0.113%,9.00
Red velvet cupcake,28.00,0.050%,7.00
Rice Crispy,164.00,0.295%,41.00
S COLDBREW,719.00,1.294%,156.00
S HOT AMERICANO,159.50,0.287%,29.00
S HOT CAFE MOCHA,91.00,0.164%,16.00
S HOT CAPPUCINO,376.25,0.677%,73.00
S HOT CARAMEL MAC,115.50,0.208%,21.00
S HOT CHAI LATTE,81.75,0.147%,14.00
S HOT CHOCOLATE,16.75,0.030%,4.00
S HOT COFFEE,594.25,1.070%,215.00
S HOT GINGER CHAI,34.50,0.062%,6.00
S HOT LATTE,596.00,1.073%,107.00
S HOT MATCHA,50.25,0.090%,9.00
S HOT SALTED CARAMEL,11.75,0.021%,2.00
S HOT WHITE MOCHA,66.75,0.120%,12.00
S ICED AMERICANO,138.00,0.248%,24.00
S ICED CAFE MOCHA,28.25,0.051%,5.00
S ICED CAPPUCCINO,135.00,0.243%,22.00
S ICED CARAMEL MAC,90.25,0.162%,16.00
S ICED CHAI,57.25,0.103%,10.00
S ICED GINGER CHAI,5.50,0.010%,1.00
S ICED MATCHA,249.25,0.449%,42.00
S ICED SALTED CARAMEL,86.25,0.155%,15.00
S ICED WHITE MOCHA,28.25,0.051%,5.00
Salmon Benedict,145.50,0.262%,8.00
San Pellegrino 16oz,100.00,0.180%,25.00
San Pellegrino 8oz,69.00,0.124%,23.00
Santa Fe Burrito,878.25,1.581%,66.00
Scones,696.00,1.253%,174.00
Side Grilled Chicken,70.00,0.126%,14.00
Side of Avocado,15.00,0.027%,3.00
Side of Bacon,135.00,0.243%,27.00
SIde of Cajun Fries,32.00,0.058%,4.00
Side of French Fries,427.50,0.769%,71.00
Side of Fruit Bowl,40.00,0.072%,5.00
Side of Guacamole,4.00,0.007%,1.00
Side of Home Fries,75.00,0.135%,15.00
Side of Mixed Greens,64.00,0.115%,8.00
Side of Pancakes,90.00,0.162%,9.00
Side of Pico De Gallo,6.00,0.011%,2.00
Side of Sausage,75.00,0.135%,15.00
Side of Smoked Salmon,18.00,0.032%,3.00
Side of Toast,28.00,0.050%,9.00
SMALL ICED LATTE,779.50,1.403%,136.00
Soup,252.00,0.454%,28.00
Sour Cream,3.00,0.005%,2.00
Southern Pepper Egg,189.50,0.341%,14.00
Spanish rice,10.00,0.018%,2.00
Steak Salmon Rice,"1,009.50",1.817%,53.00
Steam Milk,4.25,0.008%,5.00
Sticky Bun,160.00,0.288%,32.00
STRAWBERRY,141.00,0.254%,94.00
Sunrise Berry Bowl,196.00,0.353%,15.00
Syrup,76.50,0.138%,102.00
The Classic,555.00,0.999%,37.00
Toasted Croissant,66.50,0.120%,17.00
To-Go Tea,332.50,0.598%,102.00
Turkey Club,662.50,1.192%,44.00
VIDAGUA CUCUMBER LEMON,20.00,0.036%,4.00
VIDAGUA JAMAICA HIBIS,5.00,0.009%,1.00
Waffle,280.00,0.504%,20.00
Water 1L,252.00,0.454%,63.00
Water 500mL,237.00,0.427%,79.00
WaterMelon  cup,95.00,0.171%,19.00
White rice,72.50,0.130%,15.00
