ITEMS,SALES AMOUNT,PERCENTAGE,QUANTITY
London Fog,60.00,0.117%,12.00
M Arnold Palmer,110.00,0.214%,22.00
M COLDBREW 11,749.75,1.456%,122.00
M ICED CAFE MOCHA,45.25,0.088%,7.00
M ICED CAPPUCCINO,7.25,0.014%,1.00
M ICED CARAMEL MAC,157.75,0.306%,24.00
M ICED CHAI,39.00,0.076%,5.00
M ICED GINGER CHAI,14.75,0.029%,2.00
M ICED MATCHA,302.25,0.587%,45.00
M Iced Passion Fruit,236.00,0.458%,59.00
M ICED SALTED CARAMEL,106.50,0.207%,16.00
M ICED WHITE MOCHA,71.00,0.138%,11.00
Macchiato,8.50,0.017%,2.00
Maple Syrup,1.00,0.002%,2.00
Matcha S,102.75,0.200%,18.00
Mc and B,301.75,0.586%,25.00
Milk,21.00,0.041%,6.00
Mixed Green Salad,32.00,0.062%,3.00
Mocha Latte S,61.25,0.119%,11.00
Monkey Bread,160.00,0.311%,32.00
Muffin,528.00,1.026%,176.00
Muffin - HALF,6.25,0.012%,5.00
NY Cheese cake,49.00,0.095%,7.00
Oat milk,25.50,0.050%,34.00
Orange Juice,270.00,0.524%,54.00
Oreo cupcake,32.00,0.062%,8.00
Pancake,325.00,0.631%,25.00
Pecan Banana Waffle,120.00,0.233%,8.00
Plain Croissant,381.50,0.741%,109.00
PLT,362.25,0.704%,25.00
Pot of Tea,35.00,0.068%,7.00
Pumpkin Spice S,6.25,0.012%,1.00
Ranch sauce,3.00,0.006%,3.00
Ras.Cheese bun,175.00,0.340%,35.00
Red velvet,63.00,0.122%,9.00
Red velvet cupcake,80.00,0.155%,20.00
Rice Crispy,232.00,0.451%,58.00
S COLDBREW 11,"1,432.00",2.782%,278.00
S HOT CAFE MOCHA,127.50,0.248%,23.00
S HOT CAPPUCINO,656.25,1.275%,126.00
S HOT CARAMEL MAC,172.00,0.334%,30.00
S HOT CHAI LATTE,178.75,0.347%,31.00
S HOT CHOCOLATE,52.75,0.102%,13.00
S HOT COFFEE,642.75,1.249%,228.00
S HOT GINGER CHAI,16.50,0.032%,3.00
S HOT MATCHA,146.50,0.285%,25.00
S HOT PUMPKIN SPICE,11.00,0.021%,2.00
S HOT SALTED CARAMEL,104.25,0.203%,18.00
S HOT WHITE MOCHA,23.50,0.046%,4.00
S ICED CAFE MOCHA,33.75,0.066%,6.00
S ICED CAPPUCCINO,65.25,0.127%,10.00
S ICED CARAMEL MAC,82.25,0.160%,14.00
S ICED CHAI,113.75,0.221%,18.00
S ICED GINGER CHAI,18.00,0.035%,3.00
S ICED MATCHA,194.50,0.378%,33.00
S ICED SALTED CARAMEL,67.50,0.131%,12.00
S ICED WHITE MOCHA,27.50,0.053%,5.00
Salmon Benedict,288.00,0.559%,16.00
Salted Caramel S,62.75,0.122%,11.00
San Pellegrino 16oz,36.00,0.070%,9.00
San Pellegrino 8oz,75.00,0.146%,25.00
Santa Fe Burrito,765.25,1.486%,57.00
Scones,616.00,1.197%,154.00
Side Grilled Chicken,75.00,0.146%,15.00
Side of Avocado,20.00,0.039%,4.00
Side of Bacon,95.00,0.185%,19.00
SIde of Cajun Fries,40.00,0.078%,5.00
Side of French Fries,394.50,0.766%,65.00
Side of Fruit Bowl,128.00,0.249%,16.00
Side of Guacamole,15.00,0.029%,3.00
Side of Home Fries,95.00,0.185%,19.00
Side of Mixed Greens,32.00,0.062%,4.00
Side of Pancakes,20.00,0.039%,2.00
Side of Sausage,75.00,0.146%,15.00
Side of Steak,100.00,0.194%,8.00
Side of Toast,11.00,0.021%,3.00
Soup,387.00,0.752%,43.00
Southern Pepper Egg,251.25,0.488%,19.00
Spanish rice,5.00,0.010%,1.00
Steak and Eggs,16.00,0.031%,1.00
Steak Salmon Rice,703.00,1.366%,37.00
Steam Milk,10.10,0.020%,11.00
Sticky Bun,165.00,0.321%,33.00
Sunrise Berry Bowl,91.00,0.177%,7.00
Syrup,30.00,0.058%,40.00
The Classic,574.50,1.116%,38.00
Toasted Croissant,85.85,0.167%,19.00
Toasted Muffin,21.00,0.041%,6.00
To-Go Tea,552.00,1.072%,179.00
Turkey Club,570.00,1.107%,38.00
VIDAGUA CUCUMBER LEMON,5.00,0.010%,1.00
Waffle,224.00,0.435%,16.00
Water 1L,164.00,0.319%,41.00
Water 500mL,159.00,0.309%,53.00
Whipped Cream,5.10,0.010%,6.00
White Mocha S,44.00,0.085%,8.00
White rice,43.00,0.084%,14.00
