ITEMS,SALES AMOUNT,QUANTITY
Dine in Hot Chocolate,290.25,57.0
Dine in Latte,3777.25,598.0
EBC,22737.55,1973.0
ELAT,9573.0,670.0
ESPRESSO OVER ICED,1136.0,364.0
ESPRESSO SHOT,5162.0,1692.0
Egg Bar,40671.39,3232.0
Eggs Benedict,5678.0,352.0
Evergreen,144.0,8.0
FREE LATTE,0.0,3.0
Farmers Breakfast,5376.0,354.0
Free Coffee,0.0,4.0
French Roast,1292.0,76.0
French toaste,6135.0,409.0
Front Open Item,1164.27,350.0
Fruit Cheese cake,833.0,119.0
Ginger Ale,259.0,74.0
Ginger Chai S,154.0,28.0
Granola Bowl,3332.25,324.0
Gravy,394.0,82.0
Green Salsa,111.0,111.0
Grill Cheese Sandwich,3505.5,476.0
Grilled Chicken Box,22151.5,1297.0
Guacamole Dip,240.0,24.0
Hair Bender,1394.0,82.0
Ham and Cheese Crois.,10332.75,915.0
Holler Mtn,1785.0,105.0
Homestead,884.0,52.0
Hot Chocolate SE,152.0,38.0
Hot Milk,108.0,27.0
Huevos Rancheros,8537.050000000001,525.0
Iced Americano LS,1660.75,298.0
Iced Americano M,1308.5,256.0
Iced Americano xL,812.5,125.0
Iced Coffee refill,80.0,20.0
Iced Latte M,2697.0,496.0
JD Cookie,9215.0,1843.0
Jalapeno Mayo,0.0,34.0
Jelly,0.0,44.0
K- wings Sweet n Spice,3987.1500000000005,285.0
K-Ramen Regular,5854.2,486.0
K-Ramen Rose Cheese,2748.0,229.0
K-wings Chipotle BBQ,3763.3100000000004,269.0
K-wings Crispy Soy,7698.5,554.0
K-wings Sweet Chili,4294.93,307.0
Kale Caesar Salad,14065.0,920.0
Kale Caesar Wrap,24505.0,1676.0
Kitchen Open item,548.6500000000001,455.0
Kombucha,720.0,144.0
Korean Steak Sandwich,23268.0,1441.0
L Arnold Palmer,2766.0,461.0
L COLDBREW,33696.0,5608.0
L COLDBREW 11,2831.0,540.0
L HOT AMERICANO,1451.5,244.0
L HOT CAFE MOCHA,1652.5,253.0
L HOT CAPPUCCINO,6609.0,1080.0
L HOT CARAMEL MAC,2301.25,356.0
L HOT CHAI LATTE,2742.5,422.0
L HOT CHOCOLATE,157.25,31.0
L HOT COFFEE,14527.75,4642.0
L HOT GINGER CHAI,567.25,90.0
L HOT LATTE,15598.75,2448.0
L HOT MATCHA,3122.75,473.0
L HOT PUMPKIN SPICE,75.0,12.0
L HOT SALTED CARAMEL,1111.0,171.0
L HOT WHITE MOCHA,1090.0,169.0
L ICED AMERICANO,1390.5,221.0
L ICED CAFE MOCHA,1089.0,152.0
L ICED CAPPUCCINO,538.5,95.0
L ICED CARAMEL MAC,1834.75,247.0
L ICED CHAI,1971.5,298.0
L ICED GINGER CHAI,218.5,33.0
L ICED LATTE,4356.0,668.0
L ICED MATCHA,7727.0,1022.0
L ICED PUMPKIN SPICE,115.0,16.0
L ICED SALTED CARAMEL,1948.5,267.0
L ICED WHITE MOCHA,1086.75,153.0
L Iced Passion Fruit,6320.0,1264.0
L LEMONADE,1725.0,345.0
LARGE ICED LATTEeeeeee,52.0,8.0
LARGED ICED LATTE,17241.0,2667.0
Latte M,3901.0,744.0
Latte S,1800.0,336.0
Lemonade,1816.0,451.0
London Fog,907.0,181.0
M Arnold Palmer,2310.0,462.0
M COLDBREW,31682.0,5691.0
M COLDBREW 11,3221.0,528.0
M ICED AMERICANO,3469.25,578.0
M ICED CAFE MOCHA,2019.0,314.0
M ICED CAPPUCCINO,1720.75,251.0
M ICED CARAMEL MAC,5341.75,812.0
M ICED CHAI,2544.75,366.0
M ICED GINGER CHAI,242.75,35.0
M ICED LATTE,28971.25,4934.0
M ICED LATTEeeeee,51.0,8.0
M ICED MATCHA,12318.5,1812.0
M ICED PUMPKIN SPICE,178.0,28.0
M ICED SALTED CARAMEL,4177.25,642.0
M ICED WHITE MOCHA,1936.25,298.0
M Iced Passion Fruit,6228.0,1557.0
M LEMONADE,2308.0,575.0
Macchiato,367.5,82.0
Maple Syrup,4.0,115.0
Matcha S,1006.25,176.0
Mc and B,8487.25,699.0
Milk,241.5,69.0
Mixed Green Salad,900.0,88.0
Mocha Latte S,741.75,131.0
Monkey Bread,3795.0,759.0
Muffin,12369.0,4123.0
Muffin - HALF,130.0,104.0
NY Cheese cake,1309.0,187.0
Oat milk,898.25,1195.0
Orange Juice,7715.0,1543.0
Oreo cupcake,844.0,211.0
PLT,12873.0,899.0
Pancake,9593.0,727.0
Pecan Banana Waffle,2625.0,175.0
Plain Croissant,11255.519999999999,3048.0
Pot of Tea,795.0,159.0
Pumpkin Spice S,25.0,4.0
RASPBERRY,78.0,52.0
Ranch dressing,42.0,42.0
Ranch sauce,107.0,107.0
Ras.Cheese bun,3890.0,778.0
Red velvet,1764.0,252.0
Red velvet cupcake,1036.0,259.0
Rice Crispy,4408.0,1102.0
S COLDBREW,12852.5,2717.0
S COLDBREW 11,5951.0,1156.0
S HOT AMERICANO,2967.0,562.0
S HOT CAFE MOCHA,2579.25,458.0
S HOT CAPPUCINO,15884.75,3083.0
S HOT CARAMEL MAC,2898.75,515.0
S HOT CHAI LATTE,3489.5,599.0
S HOT CHOCOLATE,919.25,224.0
S HOT COFFEE,15782.5,5579.0
S HOT GINGER CHAI,903.75,159.0
S HOT LATTE,16340.5,2906.0
S HOT MATCHA,2455.75,421.0
S HOT PUMPKIN SPICE,113.0,20.0
S HOT SALTED CARAMEL,1181.0,206.0
S HOT WHITE MOCHA,1528.5,273.0
S ICED AMERICANO,1534.5,279.0
S ICED CAFE MOCHA,1062.0,186.0
S ICED CAPPUCCINO,2079.75,336.0
S ICED CARAMEL MAC,2121.0,370.0
S ICED CHAI,2166.5,356.0
S ICED GINGER CHAI,300.25,49.0
S ICED MATCHA,5734.25,960.0
S ICED PUMPKIN SPICE,25.0,4.0
S ICED SALTED CARAMEL,2127.25,369.0
S ICED WHITE MOCHA,767.0,136.0
SIde of Cajun Fries,792.0,99.0
SMALL ICED LATTE,13036.65,2260.0
STRAWBERRY,1326.0,884.0
Salmon Benedict,5892.0,323.0
Salted Caramel S,500.5,88.0
San Pellegrino 16oz,1488.0,372.0
San Pellegrino 8oz,1485.0,495.0
Santa Fe Burrito,20275.75,1506.0
Scones,16444.0,4111.0
Side Grilled Chicken,1983.0,385.0
Side of Avocado,505.0,101.0
Side of Bacon,2878.0,566.0
Side of French Fries,9746.5,1621.0
Side of Fruit Bowl,1696.0,212.0
Side of Guacamole,184.0,43.0
Side of Home Fries,2250.0,442.0
Side of Mixed Greens,652.0,80.0
Side of Pancakes,1370.0,139.0
Side of Pico De Gallo,93.0,31.0
Side of Sausage,1516.0,296.0
Side of Smoked Salmon,96.0,16.0
Side of Steak,690.0,59.0
Side of Thick Cut Ham,44.0,8.0
Side of Toast,469.0,142.0
Soup,10000.0,1098.0
Sour Cream,84.0,56.0
Southern Pepper Egg,7405.900000000001,553.0
Spanish rice,115.0,23.0
Steak Salmon Rice,17887.0,933.0
Steak and Eggs,404.5,27.0
Steam Milk,145.8,168.0
Sticky Bun,3730.0,746.0
Sunrise Berry Bowl,4195.0,319.0
Syrup,1398.0,1860.0
The Classic,14889.0,987.0
To-Go Tea,9825.0,3108.0
Toasted Croissant,1167.9,296.0
Toasted Muffin,209.5,61.0
Turkey Club,15755.0,1048.0
VIDAGUA CUCUMBER LEMON,245.0,49.0
VIDAGUA JAMAICA HIBIS,205.0,41.0
VIDAGUA MANGO GINGER,155.0,31.0
Waffle,6032.0,430.0
Waffle N Wings,380.0,20.0
Water 1L,4008.0,1002.0
Water 500mL,4602.0,1534.0
WaterMelon  cup,995.0,199.0
Whipped Cream,26.349999999999998,31.0
White Mocha S,490.75,88.0
White rice,1176.0,274.0
Wintermelon,104.0,16.0
