ITEMS,SALES AMOUNT,PERCENTAGE,QUANTITY
K-Ramen Regular,327.00,0.570%,27.00
K-Ramen Rose Cheese,108.00,0.188%,9.00
K-wings Chipotle BBQ,209.85,0.366%,15.00
K-wings Crispy Soy,377.73,0.659%,27.00
K-wings Sweet Chili,265.81,0.463%,19.00
L Arnold Palmer,174.00,0.303%,29.00
L COLDBREW,"1,754.00",3.058%,292.00
L COLDBREW 11,53.00,0.092%,9.00
L HOT CAFE MOCHA,132.75,0.231%,20.00
L HOT CAPPUCCINO,370.00,0.645%,61.00
L HOT CARAMEL MAC,128.00,0.223%,20.00
L HOT CHAI LATTE,116.50,0.203%,18.00
L HOT CHOCOLATE,10.00,0.017%,2.00
L HOT COFFEE,726.25,1.266%,235.00
L HOT GINGER CHAI,43.50,0.076%,7.00
L HOT LATTE,852.00,1.485%,135.00
L HOT MATCHA,166.75,0.291%,25.00
L HOT SALTED CARAMEL,96.75,0.169%,15.00
L HOT WHITE MOCHA,45.25,0.079%,7.00
L ICED CAFE MOCHA,50.75,0.088%,7.00
L ICED CAPPUCCINO,35.00,0.061%,6.00
L ICED CARAMEL MAC,64.50,0.112%,9.00
L ICED CHAI,112.25,0.196%,18.00
L ICED GINGER CHAI,12.75,0.022%,2.00
L ICED LATTE,62.25,0.109%,10.00
L ICED MATCHA,269.75,0.470%,35.00
L Iced Passion Fruit,335.00,0.584%,67.00
L ICED SALTED CARAMEL,81.00,0.141%,11.00
L ICED WHITE MOCHA,84.75,0.148%,12.00
LARGE ICED LATTEeeeeee,13.00,0.023%,2.00
LARGED ICED LATTE,768.50,1.340%,119.00
Latte M,35.00,0.061%,7.00
Lemonade,124.00,0.216%,31.00
London Fog,45.00,0.078%,9.00
M Arnold Palmer,100.00,0.174%,20.00
M COLDBREW,"1,398.75",2.439%,257.00
M COLDBREW 11,55.50,0.097%,10.00
M ICED CAFE MOCHA,58.50,0.102%,9.00
M ICED CAPPUCCINO,40.50,0.071%,6.00
M ICED CARAMEL MAC,232.50,0.405%,36.00
M ICED CHAI,54.75,0.095%,7.00
M ICED GINGER CHAI,7.75,0.014%,1.00
M ICED LATTE,"1,290.25",2.249%,231.00
M ICED LATTEeeeee,12.75,0.022%,2.00
M ICED MATCHA,462.00,0.805%,68.00
M Iced Passion Fruit,204.00,0.356%,51.00
M ICED SALTED CARAMEL,115.50,0.201%,18.00
M ICED WHITE MOCHA,64.00,0.112%,10.00
Macchiato,4.25,0.007%,1.00
Maple Syrup,0.00,0.000%,5.00
Matcha S,96.50,0.168%,17.00
Mc and B,341.50,0.595%,28.00
Mixed Green Salad,60.00,0.105%,6.00
Mocha Latte S,67.75,0.118%,12.00
Monkey Bread,165.00,0.288%,33.00
Muffin,588.00,1.025%,196.00
Muffin - HALF,8.75,0.015%,7.00
NY Cheese cake,56.00,0.098%,8.00
Oat milk,42.00,0.073%,56.00
Orange Juice,270.00,0.471%,54.00
Oreo cupcake,80.00,0.139%,20.00
Pancake,418.00,0.729%,32.00
Pecan Banana Waffle,105.00,0.183%,7.00
Plain Croissant,495.06,0.863%,135.00
PLT,573.00,0.999%,40.00
Pot of Tea,40.00,0.070%,8.00
Ranch sauce,4.00,0.007%,4.00
Ras.Cheese bun,185.00,0.323%,37.00
Red velvet,91.00,0.159%,13.00
Red velvet cupcake,72.00,0.126%,18.00
Rice Crispy,264.00,0.460%,66.00
S COLDBREW,535.50,0.934%,119.00
S COLDBREW 11,55.75,0.097%,11.00
S HOT CAFE MOCHA,102.00,0.178%,18.00
S HOT CAPPUCINO,814.50,1.420%,159.00
S HOT CARAMEL MAC,76.00,0.132%,13.00
S HOT CHAI LATTE,217.25,0.379%,37.00
S HOT CHOCOLATE,38.25,0.067%,9.00
S HOT COFFEE,823.00,1.435%,296.00
S HOT GINGER CHAI,38.50,0.067%,7.00
S HOT LATTE,"1,224.50",2.135%,221.00
S HOT MATCHA,134.00,0.234%,23.00
S HOT SALTED CARAMEL,45.50,0.079%,8.00
S HOT WHITE MOCHA,90.25,0.157%,16.00
S ICED CAFE MOCHA,51.00,0.089%,9.00
S ICED CAPPUCCINO,57.00,0.099%,9.00
S ICED CARAMEL MAC,162.00,0.282%,28.00
S ICED CHAI,101.00,0.176%,16.00
S ICED GINGER CHAI,18.75,0.033%,3.00
S ICED MATCHA,237.25,0.414%,40.00
S ICED SALTED CARAMEL,127.00,0.221%,22.00
S ICED WHITE MOCHA,16.50,0.029%,3.00
Salmon Benedict,324.00,0.565%,18.00
Salted Caramel S,44.75,0.078%,8.00
San Pellegrino 16oz,84.00,0.146%,21.00
San Pellegrino 8oz,72.00,0.126%,24.00
Santa Fe Burrito,990.50,1.727%,75.00
Scones,676.00,1.179%,169.00
Side Grilled Chicken,105.00,0.183%,21.00
Side of Avocado,30.00,0.052%,6.00
Side of Bacon,130.00,0.227%,26.00
SIde of Cajun Fries,32.00,0.056%,4.00
Side of French Fries,522.00,0.910%,87.00
Side of Fruit Bowl,72.00,0.126%,9.00
Side of Guacamole,24.00,0.042%,6.00
Side of Home Fries,100.00,0.174%,20.00
Side of Mixed Greens,24.00,0.042%,3.00
Side of Pancakes,20.00,0.035%,2.00
Side of Pico De Gallo,6.00,0.010%,2.00
Side of Sausage,50.00,0.087%,10.00
Side of Steak,25.00,0.044%,2.00
Side of Toast,22.00,0.038%,7.00
SMALL ICED LATTE,655.75,1.143%,117.00
Soup,625.50,1.091%,69.00
Sour Cream,3.00,0.005%,2.00
Southern Pepper Egg,382.10,0.666%,29.00
Steak Salmon Rice,630.00,1.098%,33.00
Steam Milk,5.10,0.009%,6.00
Sticky Bun,150.00,0.262%,30.00
Sunrise Berry Bowl,208.00,0.363%,16.00
Syrup,62.25,0.109%,83.00
The Classic,676.50,1.179%,45.00
Toasted Croissant,15.50,0.027%,4.00
Toasted Muffin,10.00,0.017%,3.00
To-Go Tea,548.00,0.955%,174.00
Turkey Club,645.00,1.124%,43.00
VIDAGUA JAMAICA HIBIS,15.00,0.026%,3.00
VIDAGUA MANGO GINGER,15.00,0.026%,3.00
Waffle,294.00,0.513%,21.00
Water 1L,156.00,0.272%,39.00
Water 500mL,186.00,0.324%,62.00
WaterMelon  cup,45.00,0.078%,9.00
White Mocha S,27.50,0.048%,5.00
White rice,60.00,0.105%,11.00
