ITEMS,SALES AMOUNT,QUANTITY
Devils Pancakes,112.0,7.0
Diet Coke,506.77,271.0
Dine In Cafe Mocha,106.25,17.0
Dine in Americano,303.25,55.0
Dine in Cappuccino,1127.5,185.0
Dine in Chai Latte,67.5,11.0
Dine in Coffee,472.5,156.0
Dine in Ginger Chai,30.0,5.0
Dine in Hot Chocolate,60.75,12.0
Dine in Latte,817.75,130.0
EBC,4881.55,422.0
ELAT,2115.75,148.0
ESPRESSO OVER ICED,275.0,88.0
ESPRESSO SHOT,1109.75,363.0
Egg Bar,8730.33,691.0
Eggs Benedict,1179.5,73.0
Evergreen,36.0,2.0
Farmers Breakfast,1186.5,78.0
Free Coffee,0.0,1.0
French Roast,272.0,16.0
French toaste,1230.0,82.0
Front Open Item,262.17,77.0
Fruit Cheese cake,182.0,26.0
Ginger Ale,59.5,17.0
Ginger Chai S,38.5,7.0
Granola Bowl,681.0,66.0
Gravy,76.0,16.0
Green Salsa,24.0,24.0
Grill Cheese Sandwich,723.6,98.0
Grilled Chicken Box,4678.75,274.0
Guacamole Dip,60.0,6.0
Hair Bender,272.0,16.0
Ham and Cheese Crois.,2176.5,192.0
Holler Mtn,357.0,21.0
Homestead,170.0,10.0
Hot Chocolate SE,32.0,8.0
Hot Milk,24.0,6.0
Huevos Rancheros,1806.7,111.0
Iced Americano LS,273.25,49.0
Iced Americano M,251.0,49.0
Iced Americano xL,149.5,23.0
Iced Coffee refill,20.0,5.0
Iced Latte M,674.25,124.0
JD Cookie,2045.0,409.0
Jalapeno Mayo,0.0,7.0
Jelly,0.0,8.0
K- wings Sweet n Spice,881.37,63.0
K-Ramen Regular,1193.55,99.0
K-Ramen Rose Cheese,588.0,49.0
K-wings Chipotle BBQ,825.41,59.0
K-wings Crispy Soy,1609.85,116.0
K-wings Sweet Chili,853.3900000000001,61.0
Kale Caesar Salad,3105.25,203.0
Kale Caesar Wrap,5105.5,350.0
Kitchen Open item,119.35,98.0
Kombucha,150.0,30.0
Korean Steak Sandwich,5061.0,313.0
L Arnold Palmer,606.0,101.0
L COLDBREW,6966.0,1159.0
L COLDBREW 11,707.75,135.0
L HOT AMERICANO,325.75,55.0
L HOT CAFE MOCHA,342.25,52.0
L HOT CAPPUCCINO,1410.0,231.0
L HOT CARAMEL MAC,497.5,77.0
L HOT CHAI LATTE,598.25,92.0
L HOT CHOCOLATE,35.0,7.0
L HOT COFFEE,3209.5,1021.0
L HOT GINGER CHAI,132.25,21.0
L HOT LATTE,3162.25,495.0
L HOT MATCHA,704.0,107.0
L HOT PUMPKIN SPICE,18.75,3.0
L HOT SALTED CARAMEL,233.5,36.0
L HOT WHITE MOCHA,218.5,34.0
L ICED AMERICANO,333.0,53.0
L ICED CAFE MOCHA,230.25,32.0
L ICED CAPPUCCINO,84.75,14.0
L ICED CARAMEL MAC,364.0,49.0
L ICED CHAI,431.75,64.0
L ICED GINGER CHAI,42.25,6.0
L ICED LATTE,1089.0,167.0
L ICED MATCHA,1691.0,224.0
L ICED PUMPKIN SPICE,28.75,4.0
L ICED SALTED CARAMEL,370.5,51.0
L ICED WHITE MOCHA,233.25,33.0
L Iced Passion Fruit,1295.0,259.0
L LEMONADE,420.0,84.0
LARGE ICED LATTEeeeeee,13.0,2.0
LARGED ICED LATTE,3570.75,552.0
Latte M,975.25,186.0
Latte S,450.0,84.0
Lemonade,268.0,67.0
London Fog,185.5,37.0
M Arnold Palmer,480.0,96.0
M COLDBREW,6710.75,1203.0
M COLDBREW 11,805.25,132.0
M ICED AMERICANO,839.75,140.0
M ICED CAFE MOCHA,398.25,62.0
M ICED CAPPUCCINO,405.25,59.0
M ICED CARAMEL MAC,1141.75,173.0
M ICED CHAI,534.75,78.0
M ICED GINGER CHAI,56.0,8.0
M ICED LATTE,5987.5,1019.0
M ICED LATTEeeeee,12.75,2.0
M ICED MATCHA,2625.5,387.0
M ICED PUMPKIN SPICE,44.5,7.0
M ICED SALTED CARAMEL,802.25,123.0
M ICED WHITE MOCHA,416.75,64.0
M Iced Passion Fruit,1284.0,321.0
M LEMONADE,538.0,134.0
Macchiato,85.5,19.0
Maple Syrup,1.0,25.0
Matcha S,199.25,35.0
Mc and B,1787.5,147.0
Milk,52.5,15.0
Mixed Green Salad,198.0,19.0
Mocha Latte S,129.0,23.0
Monkey Bread,825.0,165.0
Muffin,2640.0,880.0
Muffin - HALF,25.0,20.0
NY Cheese cake,280.0,40.0
Oat milk,185.75,247.0
Orange Juice,1655.0,331.0
Oreo cupcake,196.0,49.0
PLT,2577.75,179.0
Pancake,1996.25,151.0
Pecan Banana Waffle,600.0,40.0
Plain Croissant,2342.64,636.0
Pot of Tea,165.0,33.0
Pumpkin Spice S,6.25,1.0
RASPBERRY,19.5,13.0
Ranch dressing,9.0,9.0
Ranch sauce,23.0,23.0
Ras.Cheese bun,785.0,157.0
Red velvet,399.0,57.0
Red velvet cupcake,244.0,61.0
Rice Crispy,976.0,244.0
S COLDBREW,2649.5,554.0
S COLDBREW 11,1487.75,289.0
S HOT AMERICANO,717.0,136.0
S HOT CAFE MOCHA,586.5,104.0
S HOT CAPPUCINO,3356.75,650.0
S HOT CARAMEL MAC,654.0,116.0
S HOT CHAI LATTE,763.25,131.0
S HOT CHOCOLATE,181.25,44.0
S HOT COFFEE,3357.25,1184.0
S HOT GINGER CHAI,150.75,27.0
S HOT LATTE,3352.75,593.0
S HOT MATCHA,549.25,94.0
S HOT PUMPKIN SPICE,28.25,5.0
S HOT SALTED CARAMEL,287.0,50.0
S HOT WHITE MOCHA,320.25,57.0
S ICED AMERICANO,379.5,69.0
S ICED CAFE MOCHA,205.5,36.0
S ICED CAPPUCCINO,444.0,72.0
S ICED CARAMEL MAC,470.25,82.0
S ICED CHAI,428.0,71.0
S ICED GINGER CHAI,60.25,10.0
S ICED MATCHA,1198.25,201.0
S ICED PUMPKIN SPICE,6.25,1.0
S ICED SALTED CARAMEL,465.25,81.0
S ICED WHITE MOCHA,158.75,28.0
SIde of Cajun Fries,168.0,21.0
SMALL ICED LATTE,2679.6,463.0
STRAWBERRY,304.5,203.0
Salmon Benedict,1243.5,68.0
Salted Caramel S,107.5,19.0
San Pellegrino 16oz,336.0,84.0
San Pellegrino 8oz,324.0,108.0
Santa Fe Burrito,4253.5,315.0
Scones,3532.0,883.0
Side Grilled Chicken,394.5,76.0
Side of Avocado,115.0,23.0
Side of Bacon,622.0,122.0
Side of French Fries,2044.0,340.0
Side of Fruit Bowl,352.0,44.0
Side of Guacamole,43.0,10.0
Side of Home Fries,495.0,97.0
Side of Mixed Greens,163.0,20.0
Side of Pancakes,305.0,31.0
Side of Pico De Gallo,12.0,4.0
Side of Sausage,334.0,65.0
Side of Smoked Salmon,24.0,4.0
Side of Steak,165.0,14.0
Side of Thick Cut Ham,11.0,2.0
Side of Toast,109.0,34.0
Soup,2162.5,237.0
Sour Cream,16.5,11.0
Southern Pepper Egg,1543.6,115.0
Spanish rice,25.0,5.0
Steak Salmon Rice,3973.0,207.0
Steak and Eggs,88.0,6.0
Steam Milk,28.799999999999997,33.0
Sticky Bun,805.0,161.0
Sunrise Berry Bowl,844.0,64.0
Syrup,281.25,375.0
The Classic,3213.75,213.0
To-Go Tea,2140.5,678.0
Toasted Croissant,259.35,65.0
Toasted Muffin,44.5,13.0
Turkey Club,3215.0,214.0
VIDAGUA CUCUMBER LEMON,50.0,10.0
VIDAGUA JAMAICA HIBIS,40.0,8.0
VIDAGUA MANGO GINGER,20.0,4.0
Waffle,1319.0,94.0
Waffle N Wings,95.0,5.0
Water 1L,840.0,210.0
Water 500mL,912.0,304.0
WaterMelon  cup,140.0,28.0
Whipped Cream,5.949999999999999,7.0
White Mocha S,71.5,13.0
White rice,235.5,55.0
Wintermelon,26.0,4.0
