ITEMS,SALES AMOUNT,PERCENTAGE,QUANTITY
Grilled Chicken Box,"1,145.50",1.811%,67.00
Hair Bender,102.00,0.161%,6.00
Ham and Cheese Crois.,542.25,0.857%,49.00
Holler Mtn,119.00,0.188%,7.00
Homestead,68.00,0.108%,4.00
Hot Chocolate SE,8.00,0.013%,2.00
Hot Milk,4.00,0.006%,1.00
Huevos Rancheros,436.75,0.690%,27.00
Iced Americano LS,189.25,0.299%,34.00
Iced Americano M,101.50,0.160%,20.00
Iced Americano xL,71.50,0.113%,11.00
Jalapeno Mayo,0.00,0.000%,2.00
JD Cookie,345.00,0.545%,69.00
Jelly,0.00,0.000%,4.00
K- wings Sweet n Spice,153.89,0.243%,11.00
Kale Caesar Salad,548.00,0.866%,36.00
Kale Caesar Wrap,"1,361.00",2.152%,92.00
Kitchen Open item,23.75,0.038%,21.00
Kombucha,40.00,0.063%,8.00
Korean Steak Sandwich,"1,008.00",1.594%,63.00
K-Ramen Regular,360.00,0.569%,30.00
K-Ramen Rose Cheese,132.00,0.209%,11.00
K-wings Chipotle BBQ,153.89,0.243%,11.00
K-wings Crispy Soy,419.70,0.664%,30.00
K-wings Sweet Chili,293.79,0.464%,21.00
L Arnold Palmer,114.00,0.180%,19.00
L COLDBREW,"1,944.00",3.073%,324.00
L HOT AMERICANO,49.50,0.078%,8.00
L HOT CAFE MOCHA,94.50,0.149%,15.00
L HOT CAPPUCCINO,323.00,0.511%,52.00
L HOT CARAMEL MAC,103.75,0.164%,16.00
L HOT CHAI LATTE,116.50,0.184%,18.00
L HOT CHOCOLATE,5.75,0.009%,1.00
L HOT COFFEE,563.25,0.890%,186.00
L HOT GINGER CHAI,12.75,0.020%,2.00
L HOT LATTE,983.25,1.554%,156.00
L HOT MATCHA,102.25,0.162%,15.00
L HOT SALTED CARAMEL,59.00,0.093%,9.00
L HOT WHITE MOCHA,72.00,0.114%,11.00
L ICED AMERICANO,19.50,0.031%,3.00
L ICED CAFE MOCHA,56.00,0.089%,8.00
L ICED CAPPUCCINO,66.50,0.105%,13.00
L ICED CARAMEL MAC,126.25,0.200%,17.00
L ICED CHAI,81.50,0.129%,14.00
L ICED GINGER CHAI,16.50,0.026%,3.00
L ICED MATCHA,321.00,0.507%,42.00
L Iced Passion Fruit,380.00,0.601%,76.00
L ICED SALTED CARAMEL,155.50,0.246%,21.00
L ICED WHITE MOCHA,51.25,0.081%,7.00
L LEMONADE,15.00,0.024%,3.00
LARGED ICED LATTE,986.00,1.559%,153.00
Lemonade,248.00,0.392%,61.00
London Fog,55.00,0.087%,11.00
M Arnold Palmer,130.00,0.206%,26.00
M COLDBREW,"1,613.00",2.550%,293.00
M ICED AMERICANO,36.75,0.058%,6.00
M ICED CAFE MOCHA,142.00,0.224%,22.00
M ICED CAPPUCCINO,33.25,0.053%,5.00
M ICED CARAMEL MAC,258.25,0.408%,40.00
M ICED CHAI,135.25,0.214%,18.00
M ICED GINGER CHAI,6.25,0.010%,1.00
M ICED LATTE,"1,673.75",2.646%,286.00
M ICED MATCHA,605.50,0.957%,88.00
M Iced Passion Fruit,364.00,0.575%,91.00
M ICED SALTED CARAMEL,322.75,0.510%,50.00
M ICED WHITE MOCHA,89.75,0.142%,14.00
M LEMONADE,52.00,0.082%,13.00
Macchiato,8.50,0.013%,2.00
Maple Syrup,0.00,0.000%,5.00
Matcha S,69.75,0.110%,12.00
Mc and B,445.75,0.705%,37.00
Milk,10.50,0.017%,3.00
Mixed Green Salad,36.00,0.057%,4.00
Mocha Latte S,75.25,0.119%,13.00
Monkey Bread,165.00,0.261%,33.00
Muffin,603.00,0.953%,201.00
Muffin - HALF,10.00,0.016%,8.00
NY Cheese cake,63.00,0.100%,9.00
Oat milk,51.75,0.082%,69.00
Orange Juice,365.00,0.577%,73.00
Oreo cupcake,20.00,0.032%,5.00
Pancake,536.00,0.847%,41.00
Pecan Banana Waffle,75.00,0.119%,5.00
Plain Croissant,628.32,0.993%,168.00
PLT,854.00,1.350%,61.00
Pot of Tea,45.00,0.071%,9.00
Ranch dressing,2.00,0.003%,2.00
Ranch sauce,5.00,0.008%,5.00
Ras.Cheese bun,250.00,0.395%,50.00
Red velvet,56.00,0.089%,8.00
Red velvet cupcake,20.00,0.032%,5.00
Rice Crispy,168.00,0.266%,42.00
S COLDBREW,751.50,1.188%,167.00
S HOT AMERICANO,33.00,0.052%,6.00
S HOT CAFE MOCHA,77.75,0.123%,14.00
S HOT CAPPUCINO,819.25,1.295%,161.00
S HOT CARAMEL MAC,94.25,0.149%,17.00
S HOT CHAI LATTE,145.50,0.230%,25.00
S HOT CHOCOLATE,64.75,0.102%,16.00
S HOT COFFEE,784.50,1.240%,281.00
S HOT GINGER CHAI,100.25,0.158%,17.00
S HOT LATTE,976.50,1.544%,178.00
S HOT MATCHA,86.25,0.136%,15.00
S HOT SALTED CARAMEL,11.00,0.017%,2.00
S HOT WHITE MOCHA,82.50,0.130%,15.00
S ICED AMERICANO,5.50,0.009%,1.00
S ICED CAFE MOCHA,80.00,0.126%,14.00
S ICED CAPPUCCINO,101.25,0.160%,16.00
S ICED CARAMEL MAC,80.00,0.126%,14.00
S ICED CHAI,151.50,0.240%,24.00
S ICED GINGER CHAI,19.75,0.031%,3.00
S ICED MATCHA,313.75,0.496%,52.00
S ICED SALTED CARAMEL,88.75,0.140%,15.00
S ICED WHITE MOCHA,44.00,0.070%,8.00
Salmon Benedict,306.00,0.484%,17.00
Salted Caramel S,23.50,0.037%,4.00
San Pellegrino 16oz,48.00,0.076%,12.00
San Pellegrino 8oz,63.00,0.100%,21.00
Santa Fe Burrito,"1,087.25",1.719%,82.00
Scones,772.00,1.220%,193.00
Side Grilled Chicken,135.00,0.213%,27.00
Side of Avocado,15.00,0.024%,3.00
Side of Bacon,130.00,0.206%,26.00
SIde of Cajun Fries,40.00,0.063%,5.00
Side of French Fries,523.50,0.828%,87.00
Side of Fruit Bowl,96.00,0.152%,12.00
Side of Guacamole,4.00,0.006%,1.00
Side of Home Fries,90.00,0.142%,18.00
Side of Pancakes,50.00,0.079%,5.00
Side of Pico De Gallo,15.00,0.024%,5.00
Side of Sausage,60.00,0.095%,12.00
Side of Steak,10.00,0.016%,1.00
Side of Toast,11.00,0.017%,2.00
SMALL ICED LATTE,772.75,1.222%,136.00
Soup,450.00,0.711%,50.00
Sour Cream,6.00,0.009%,4.00
Southern Pepper Egg,410.50,0.649%,31.00
Spanish rice,5.00,0.008%,1.00
Steak and Eggs,17.50,0.028%,1.00
Steak Salmon Rice,665.00,1.051%,35.00
Steam Milk,10.20,0.016%,12.00
Sticky Bun,170.00,0.269%,34.00
STRAWBERRY,36.00,0.057%,24.00
Sunrise Berry Bowl,273.00,0.432%,21.00
Syrup,91.00,0.144%,120.00
The Classic,678.00,1.072%,45.00
Toasted Croissant,43.50,0.069%,12.00
Toasted Muffin,10.50,0.017%,3.00
To-Go Tea,421.00,0.666%,132.00
Turkey Club,965.00,1.526%,64.00
VIDAGUA CUCUMBER LEMON,15.00,0.024%,3.00
VIDAGUA JAMAICA HIBIS,15.00,0.024%,3.00
VIDAGUA MANGO GINGER,25.00,0.040%,5.00
Waffle,252.00,0.398%,18.00
Water 1L,216.00,0.341%,54.00
Water 500mL,318.00,0.503%,106.00
WaterMelon  cup,145.00,0.229%,29.00
Whipped Cream,0.85,0.001%,1.00
White Mocha S,68.25,0.108%,12.00
White rice,78.00,0.123%,18.00
